ID,Married,Gender,Age,Graduate,Profession,Years_of_Working ,Spending_Score,Family_Members,Category,Class(Target)
0,1,1,36,nan,Artist,9,Low,2,Cat_6,B
1,0,1,49,1,Artist,1,Low,1,Cat_6,D
2,0,nan,25,0,Homemaker,8,Low,1,Cat_3,A
3,1,0,77,1,Lawyer,0,High,2,Cat_4,D
4,1,0,39,1,Entertainment,1,Average,4,Cat_3,D
5,1,0,39,1,nan,5,Average,3,Cat_6,C
6,0,1,40,1,Artist,8,Low,2,Cat_6,B
7,0,1,37,0,Homemaker,8,Low,1,Cat_6,A
8,0,1,49,1,Doctor,nan,Low,2,Cat_6,A
9,1,1,26,1,Engineer,1,Low,3,Cat_3,A
10,1,0,27,1,Healthcare,4,High,3,Cat_6,B
11,1,1,25,0,Entertainment,3,Low,1,Cat_4,C
12,1,1,28,0,Doctor,1,Low,1,Cat_4,C
13,1,1,41,1,Artist,9,Low,2,Cat_6,C
14,0,1,28,0,Doctor,0,Low,5,Cat_3,C
15,1,0,51,1,Entertainment,1,Average,2,Cat_6,B
16,1,1,23,0,Healthcare,1,Low,5,Cat_6,A
17,0,0,32,1,Artist,8,Low,3,Cat_6,B
18,0,1,32,1,Entertainment,1,Low,3,Cat_6,C
19,0,1,27,1,Healthcare,1,Low,7,Cat_2,C
20,0,1,38,1,Artist,4,Low,1,Cat_6,C
21,1,1,25,0,Healthcare,0,Low,4,Cat_3,D
22,1,1,42,1,Entertainment,2,Low,1,Cat_3,B
23,0,0,47,1,Artist,0,Low,nan,Cat_6,D
24,1,0,59,1,Entertainment,1,Average,5,Cat_3,B
25,0,1,39,1,Doctor,9,Low,1,Cat_3,B
26,1,0,71,1,Artist,1,Low,3,Cat_6,A
27,0,1,37,1,Artist,1,Low,1,Cat_4,D
28,0,0,51,1,Artist,0,Low,nan,Cat_6,C
29,1,0,55,1,Entertainment,1,Low,1,Cat_6,B
30,1,0,55,0,Artist,nan,Average,2,Cat_6,C
31,1,1,36,1,Entertainment,13,Low,1,Cat_6,C
32,0,0,60,1,Artist,1,High,4,Cat_6,D
33,0,0,45,1,Artist,1,High,5,Cat_6,D
34,0,0,47,1,Artist,0,Low,3,Cat_4,A
35,1,1,20,0,Doctor,0,Low,4,Cat_6,A
36,1,0,47,1,nan,1,High,3,Cat_6,B
37,1,0,61,0,Engineer,9,Average,4,Cat_6,D
38,0,0,52,0,Executive,1,Low,1,Cat_3,C
39,1,0,29,0,Entertainment,7,Average,2,Cat_3,A
40,0,1,28,1,Healthcare,0,Low,1,Cat_7,A
41,1,1,30,0,Marketing,1,Low,6,Cat_4,B
42,1,1,53,1,Doctor,0,Low,1,Cat_6,B
43,0,1,21,nan,Healthcare,3,Low,4,Cat_5,D
44,1,0,61,0,Artist,0,Low,1,Cat_7,C
45,1,0,50,1,Artist,0,Low,2,Cat_6,C
46,1,0,49,0,Artist,nan,Average,4,Cat_6,D
47,0,0,68,1,Artist,1,Low,2,Cat_6,C
48,1,0,30,0,Engineer,1,Average,3,Cat_4,C
49,1,1,29,1,Healthcare,5,Low,4,Cat_2,A
50,0,1,53,0,Artist,7,Low,1,Cat_6,D
51,0,1,37,1,Artist,1,Low,2,Cat_6,D
52,0,1,28,0,Healthcare,1,Low,2,Cat_4,C
53,1,1,32,1,Healthcare,8,Low,2,Cat_4,A
54,1,1,22,0,Healthcare,0,Low,3,Cat_6,A
55,0,1,61,1,Marketing,1,Low,1,Cat_6,A
56,1,0,62,1,Artist,1,Average,3,Cat_3,C
57,1,0,78,1,Lawyer,0,High,5,Cat_6,B
58,0,0,39,1,Artist,7,High,5,nan,D
59,0,1,33,0,Healthcare,nan,Low,3,Cat_4,B
60,1,1,19,0,Healthcare,0,Low,4,Cat_6,A
61,0,0,39,nan,Doctor,2,Low,1,Cat_3,C
62,0,1,28,1,Homemaker,8,Low,1,Cat_6,A
63,1,1,33,1,Artist,1,Low,2,Cat_6,D
64,0,0,55,1,Artist,1,Low,1,Cat_6,B
65,0,0,52,1,Artist,6,Low,2,Cat_6,C
66,1,0,29,0,Homemaker,9,Low,1,Cat_4,C
67,1,0,43,0,Entertainment,9,Low,2,Cat_4,B
68,0,0,46,1,Homemaker,8,Average,3,Cat_3,D
69,0,0,37,1,Doctor,8,Average,4,Cat_2,C
70,0,0,87,1,Lawyer,nan,High,2,Cat_6,D
71,0,0,36,1,Engineer,0,Low,1,Cat_6,B
72,1,1,43,1,Artist,0,Low,2,Cat_6,C
73,1,0,82,0,Executive,1,High,4,Cat_4,C
74,1,0,73,0,Executive,1,High,2,Cat_4,A
75,1,0,69,1,Entertainment,nan,Average,3,Cat_6,D
76,1,1,18,0,Healthcare,0,Low,3,Cat_3,A
77,0,0,43,0,Engineer,nan,Average,4,Cat_4,C
78,0,0,35,1,Artist,0,Low,3,Cat_6,C
79,1,0,49,1,Artist,0,Low,3,Cat_3,D
80,1,1,25,1,Healthcare,0,Low,nan,Cat_3,A
81,1,1,39,1,Artist,0,Low,1,Cat_6,C
82,0,1,39,1,Engineer,1,Low,3,Cat_6,B
83,0,0,62,1,Artist,nan,Average,3,Cat_6,D
84,1,0,72,1,Entertainment,7,Low,2,Cat_6,C
85,1,0,27,0,Engineer,6,Low,3,Cat_6,A
86,1,0,47,0,Entertainment,9,Average,6,Cat_6,D
87,0,1,42,1,Artist,1,Low,2,Cat_5,D
88,1,1,25,1,Artist,9,Low,3,Cat_6,C
89,0,0,81,1,Lawyer,1,High,2,Cat_6,D
90,0,1,22,0,Homemaker,0,Low,4,Cat_6,A
91,1,0,57,1,Artist,0,Average,2,Cat_6,B
92,1,0,47,1,Artist,1,Average,4,Cat_6,D
93,1,1,21,0,Healthcare,1,Low,3,Cat_3,A
94,1,0,65,0,Lawyer,1,High,2,Cat_6,D
95,1,nan,18,0,nan,6,High,4,Cat_3,A
96,0,1,41,0,Engineer,1,Low,1,Cat_6,C
97,1,1,29,1,Artist,0,Low,3,Cat_6,A
98,1,1,20,0,Healthcare,2,Low,5,Cat_6,C
99,0,1,28,0,Doctor,0,Low,5,Cat_3,C
100,1,1,39,0,Marketing,1,Low,2,Cat_6,C
101,1,1,31,0,Doctor,1,Low,2,Cat_4,C
102,0,1,23,0,Healthcare,1,Low,4,Cat_6,A
103,1,0,50,1,Artist,0,Average,2,Cat_6,B
104,0,0,63,1,nan,4,Average,3,Cat_6,C
105,0,1,30,1,Entertainment,9,Low,3,Cat_6,A
106,0,0,38,0,Doctor,1,Average,3,Cat_4,C
107,0,1,26,1,Artist,9,Low,1,Cat_6,C
108,0,1,28,1,Doctor,0,Low,6,Cat_4,A
109,1,0,61,0,Healthcare,0,High,4,Cat_7,A
110,1,1,18,0,Healthcare,0,Low,4,Cat_3,A
111,0,1,40,1,Entertainment,0,Low,1,Cat_6,C
112,0,1,20,0,Marketing,3,Low,4,Cat_7,D
113,0,0,80,1,Lawyer,0,High,nan,Cat_6,C
114,0,0,72,1,Engineer,0,High,2,Cat_4,B
115,0,1,40,1,Lawyer,1,Low,1,Cat_6,C
116,0,1,51,1,Marketing,9,Low,1,Cat_6,A
117,0,0,74,0,Lawyer,1,High,2,Cat_6,D
118,1,0,42,1,Artist,1,Average,2,Cat_6,D
119,0,0,39,1,Engineer,8,Average,2,Cat_6,D
120,1,0,85,1,Lawyer,nan,Low,1,Cat_6,B
121,1,0,42,1,Artist,3,Average,2,Cat_6,C
